
纪宝成,0.06179821100429585
张建明,0.05842935576488961
陈雨露,0.04444167337523951
靳诺,0.04228563587257974
郑风田,0.03941283170559023
王利明,0.03683411096106431
张晓京,0.03192735265828877
杨妮,0.02876856518487017
牛维麟,0.028017500099624816
冯惠玲,0.02570565047526365
靳诺,0.08185149758968485
陈雨露,0.07430883833663171
习近平,0.07306345301826496
杜鹏,0.050562099401335214
王利明,0.04133746825777761
程天权,0.03402780618780619
冯惠玲,0.030875745132401673
纪宝成,0.029006899638498836
刘伟,0.027889498915407256
伊志宏,0.02735466221788114
靳诺,0.08449177531135348
刘伟,0.05307520566243817
张建明,0.051573964407931806
陈雨露,0.048257870333060636
习近平,0.045173430914568005
胡锦涛,0.034256873858295414
吴晓球,0.032056651255688316
杜鹏,0.031086703915323984
周荣,0.03105080926928837
牛维麟,0.02969250871690158
